Author_id,Author_name
1,John Smith
2, Mary Johnson
3,Li Wei
4,Unknown
5,Anna Marie
6,Jeanluc  Picard
7,Maria  Garca
8,Robert  Brown
9,Emily  Davis
10, King
11,Chris Neil
12,Samantha  Lopez
13,William Zhang
14,Fatima Al   Ali
15,Hans  Mller
16,Clara  De Souza
17,Ahmed Khaled
18,Victoria Hara
19,Michael Roberts
20,Lcia  Fernndez
21, Andrew Thomas
22,Yuki Tanaka
23,George Washington
24,Ivan  Petrov
25,Sofia  Rossi
26,Peter Chan
27,Hlne  Dubois
28,David   Clarke
29,Carla  Mendes
30,Francois  Moreau
31,Markus  Jensen
32,Mohamed  Ahmed
33,Sara Lee
34,Jorge  Martnez
35,Unknown
36,Martin  King
37,Unknown
38,Tariq  Hussain
39,Alexis Kim
40,Chen Long
41,Brigitte   Laurent
42,Patricia  Wong
43,Lus Costa
44,Andrea   Ricci
45,Pawe   Nowak
46,Unknown
47,Omar   Farouk
48, Christoph Schmid
49,Aye   Ylmaz
50, Hiroshi Sato
51,Elena  Ivanova
52,Unknown
53,Susan  Clark
54,Lars   Johansson
55,David  Oconnell
56,Roberto  Silva
57,Marie  Antoinette
58,Kwame  Mensah
59,Unknown
60,Nadia Petrova
61,Hassan  Ali
62,Giulia   Romano
63,Agnieszka   Kowalska
64,Fernando   Lpez
65,Helmut   Schfer
66,Sung Park
67,Unknown
68,Frank   Williams
69,Tom Novk
70,Nguyen   Van  Anh
71,Olivia Walker
72,Abdullah  Rashid
73,Chloe Evans
74,Petra Novak
75, Daniel  Mller
76,Marta   Kowalczyk
77,Leonardo   Bianchi
78, Sarah   Mitchell
79,Paul   Evans
80,Lucy   Carter
81,Thiago   Oliveira
82,Khalid   Mahmoud
83,Noah   White
84,Sophie   King
85,Felix   Meier
86,Unknown
87,Unknown
88,Miguel   Prez
89,Haruto   Suzuki
90,Emma   Thompson
91,Liam   Murphy
92,   Kate   Hughes
93,Nikolai   Smirnov
94,Gabriel   Santos
95,Marwan   Youssef
96,Unknown
97,  Zara Khan
98,Kevin Hall
99,Unknown
100,Yusuf  Ismail
101,Lucas   Ferreira
102,Amelia   Scott
103,Unknown
104,Charlotte   Allen
105,Victor Morales
106,Anastasia   Kuznetsova
107,Unknown
108,Elif   Kaya
109,Fiona   Bell
110,Sen   Murphy
111,Clment   Lefevre
112,Unknown
113,Nina   Petrovic
114,Denis   Ivanov
115,Paula   Sousa
116,Miguel   Gomes
117,Unknown
118,Zainab   Abbas
119,Erik   Hansen
120,Jonathan   Black
121,Camila   Herrera
122,Hassan   Omar
123,George   Hill
124,  Mattia   Conti
125,Elena   Rossi
126,Unknown
127,Lucas   Meyer
128,Aria   Taylor
129,Ibrahim   Hassan
130,Nadine   Mller
131,  Rafael   Almeida
132,Marcel   Schneider
