Saleline_id,Unit_price,Book_id,Sale_id,Quantity
1,28.58,18,16,7
2,55.14,13,45,5
3,42.08,28,12,9
4,80.31,10,38,6
5,33.66,2,11,9
6,23.72,9,19,4
7,62.05,36,31,1
8,68.8,21,27,7
9,1.89,21,29,9
10,71.73,6,27,5
11,48.16,19,46,7
12,0.97,30,32,2
13,6.01,24,38,3
14,36.11,6,28,9
15,33.39,27,16,1
16,54.62,35,33,7
17,88.77,3,35,8
18,8.65,38,21,2
19,87.09,26,27,10
20,58.81,3,30,7
21,4.18,30,31,9
22,32.43,11,17,2
23,81.52,22,14,2
24,58.97,35,31,1
25,85.87,11,38,7
26,42.19,40,36,1
27,36.93,33,49,7
28,11.92,27,47,10
29,0.65,19,13,2
30,32.83,27,15,7
31,56.99,34,25,1
32,50.19,18,36,7
33,85.06,24,18,9
34,58.38,36,36,7
35,96.61,38,40,3
36,37.15,19,11,2
37,81.47,28,48,2
38,54.93,7,11,9
39,9.12,21,14,7
40,24.75,34,26,8
41,96.38,5,37,6
42,42.68,2,49,1
43,6.09,18,2,3
44,53.22,23,10,1
45,80.51,36,1,8
46,67.58,32,49,2
47,54.5,33,20,4
48,19.69,34,32,8
49,13.41,38,12,10
50,34.3,16,45,8
